Origin City,Destination City,Routing,Segment Count,Distance,CO2 Emission,Air Expense,Road Distance,Origin Country,Destination Country,Travel Type,Train_CO2 Emission,Regular Taxi CO2 Emission,Black Cab CO2 Emission,Coach Bus CO2 Emission,Projected_Transport,Projected_CO2,CO2_Savings,CO2_Savings_Percent
Casablanca,London,Casablanca - London,1,2069.59,378.47,246.4,2763.579,Maroc ⵍⵎⵖⵔⵉⴱ المغرب,United Kingdom,International rail,12.322798761000001,410.709293085,563.8392054750001,75.116840799,Train,12.322798761000001,366.147201239,96.74404873279256
Frankfurt,Edinburgh,Frankfurt - Edinburgh,1,1032.17,283.12,703.01,1401.617,Deutschland,United Kingdom,International rail,6.249810203,208.301310455,285.96490842500003,38.097351677,Train,6.249810203,276.870189797,97.79252253355469
London,Casablanca,London - Casablanca,1,2069.59,378.47,173.87,2773.394,United Kingdom,Maroc ⵍⵎⵖⵔⵉⴱ المغرب,International rail,12.366563846,412.16794931,565.84171085,75.383622314,Train,12.366563846,366.103436154,96.73248504610669
London,Zagreb,London - Zagreb,1,1368.76,250.3,337.68,1702.708,United Kingdom,Hrvatska,International rail,7.592374972000001,253.04794942,347.3949997,46.281306148000006,Train,7.592374972000001,242.70762502800002,96.96668998322015
Manchester,Milan,Manchester - Milan,1,1168.86,213.75,57.99,1589.03,United Kingdom,Italia,International rail,7.085484770000001,236.15369345,324.20184575,43.19142443,Train,7.085484770000001,206.66451523,96.6851533239766
London,Zagreb,London - Zagreb,1,1368.76,250.3,117.48,1702.708,United Kingdom,Hrvatska,International rail,7.592374972000001,253.04794942,347.3949997,46.281306148000006,Train,7.592374972000001,242.70762502800002,96.96668998322015
London,Ljubljana,London - Ljubljana,1,1247.98,228.22,73.07,1562.468,United Kingdom,Slovenija,International rail,6.967044812000001,232.20618182,318.78253370000004,42.469442708,Train,6.967044812000001,221.252955188,96.9472242520375
Frankfurt,Edinburgh,Frankfurt - Edinburgh,1,1032.17,283.12,826.01,1401.617,Deutschland,United Kingdom,International rail,6.249810203,208.301310455,285.96490842500003,38.097351677,Train,6.249810203,276.870189797,97.79252253355469
London,Ljubljana,London - Ljubljana,1,1247.98,228.22,45.66,1562.468,United Kingdom,Slovenija,International rail,6.967044812000001,232.20618182,318.78253370000004,42.469442708,Train,6.967044812000001,221.252955188,96.9472242520375
Frankfurt,Bucharest,Frankfurt - Bucharest,1,1450.63,265.28,212.7,1789.333,Deutschland,România,International rail,7.9786358470000005,265.921723795,365.06866532500004,48.635860273000006,Train,7.9786358470000005,257.30136415299995,96.99237189120929
